Seq,label,Maj_pc,Min_pc,q_ba,PA_deg,v_center_kms,RA_deg,Dec_deg
274,CAP30_POSTPV_0504,396.0,396.0,1.0,-10.0,-454.0368148238255,10.407656276164513,40.68926600034728
275,CAP30_POSTPV_0507,220.0,198.0,0.9,-50.0,-152.9992836389565,11.02269691385971,41.823713343714594
276,CAP30_POSTPV_0508,253.0,227.7,0.8999999999999999,50.0,-540.6366525619385,10.217619875910708,40.75379141792399
277,CAP30_POSTPV_0509,220.0,198.0,0.9,35.0,-223.10391418885752,10.717319307303452,41.64919268253316
278,CAP30_POSTPV_0510,303.6,303.6,1.0,45.0,-190.1134998124335,10.865823343152286,41.712391382864
279,CAP30_POSTPV_0511,264.0,264.0,1.0,-45.0,-120.0088692625325,11.24384954348406,42.04829921842972
280,CAP30_POSTPV_0512,253.0,202.4,0.8,50.0,-91.14225668316148,11.398010335394549,41.784101449272704
281,CAP30_POSTPV_0513,264.0,264.0,1.0,-45.0,-388.0559860709775,10.655182288386763,40.95682797694521
282,CAP30_POSTPV_0514,264.0,264.0,1.0,-45.0,-561.2556615472035,9.807067193201023,40.33618974495808
283,CAP30_POSTPV_0515,300.0,270.0,0.9,30.0,-553.0080579530975,10.164428142144544,40.82648288043407
284,CAP30_POSTPV_0516,483.0,338.1,0.7000000000000001,35.0,-202.4849052035925,11.155503529628614,41.43046066630779
285,CAP30_POSTPV_0517,253.0,227.7,0.8999999999999999,-15.0,-425.1702022444545,10.15887367520556,41.04035414444586
286,CAP30_POSTPV_0518,366.85,330.165,0.9,75.0,-276.7133375505465,10.990242366565637,41.26865190293442
287,CAP30_POSTPV_0519,319.0,319.0,1.0,-90.0,-214.8563105947515,10.732904162865434,41.61113095901193
288,CAP30_POSTPV_0522,264.0,264.0,1.0,-45.0,-223.10391418885752,10.871294718800783,41.73849474237699
289,CAP30_POSTPV_0523,303.6,303.6,1.0,-45.0,-532.3890489678325,9.989413583547758,40.35967428529307
290,CAP30_POSTPV_0526,345.0,310.5,0.9,-85.0,-524.1414453737265,9.997957021840584,40.39778740642782
